,NORAD ID,SATNAME,EPOCH,MEAN MOTION(rev/day),SEMI MAJOR (m),ORBITAL PERIOD(sec),ECCENTRICITY,SEMI LATUS RECTUM(m),INCLINATION(deg),RIGHT ASCENSION ASCENDING NODE(deg),ARGUMENT PERIGEE(deg),ALTITUDE PERIGEE(km),ALTITUDE APOGEE(km),AVERAGE ALTITUDE(km),CIRCULAR ORBIT,ORBIT CLASS,ANNUAL PRECESSION(rad/yr),SUN-SYNCHRONOUS,MEAN LOCAL TIME ASCENDING NODE,DAYS,MEAN ANAMOLY(deg)
32,40339,0 YAOGAN 25B,2021-02-12 05:45:24,13.451978569998277,7468116.144011772,6422.846984955532,0.0191671,7465372.524512093,63.402722670533606,289.6346035629188,1.2612004509599275,953.9740150678844,1240.2582729556598,1097.116144011772,False,LEO,,False,,,358.8858
33,40340,0 YAOGAN 25C,2021-02-12 05:45:19,13.451985249998279,7468113.6716619525,6422.843795491892,0.019152,7465374.374258618,63.40132267003303,290.2102037687327,1.6233005804339125,954.0843586222827,1240.1429847016225,1097.1136716619526,False,LEO,,False,,,358.5373
34,40362,0 YAOGAN 26,2021-02-12 09:22:44,15.236708089998055,6872916.639892328,5670.516196127434,0.0010663,6872908.82541573,97.21913476206652,108.81843890956057,17.47770624939924,494.5880488792109,509.24523090544517,501.916639892328,True,LEO,6.145353171198878,True,21.621264244286323,52.99655776462896,44.4863
35,40878,0 YAOGAN 27,2021-02-12 07:42:05,13.15967946999832,7578297.211791874,6565.50945613654,0.0008673999999999999,7578291.510011703,100.19843582735744,89.39453196426994,37.17461329230488,1200.7237967903666,1213.870626793382,1207.2972117918746,True,LEO,6.150947135779867,True,20.330929859295694,58.996521415072486,322.9969
36,41026,0 YAOGAN 28,2021-02-12 09:39:32,15.235068169998051,6873409.836734225,5671.126576915797,0.0001444,6873409.693414282,97.48223485614164,180.12396440585223,21.548807705078726,501.41731635379983,503.40235711464896,502.40983673422437,True,LEO,6.366454123074711,True,2.3741993458187025,53.002132340785465,53.8543
37,41038,0 YAOGAN 29,2021-02-12 08:58:25,14.804859139998104,7005927.759925508,5835.921786420382,0.0001354,7005927.6314847125,98.03003505201531,37.210813305248706,120.90114322990112,633.9791573068143,635.8763625442025,634.9277599255083,True,LEO,6.388062724866445,True,16.84853212741509,59.002729124236794,239.2333
38,41473,0 YAOGAN 30,2021-02-12 09:06:22,14.763200229998114,7019101.15591606,5852.389634629439,0.0017441,7019079.804618874,97.82763497964432,94.80163389765514,47.12651685074772,635.8591415900272,660.343170242094,648.1011559160606,True,LEO,6.1872878139834455,True,20.687557401679555,3.9988477403530847,313.1413
39,42945,0 YAOGAN-30 A,2021-02-12 06:55:58,14.898719449998095,6976472.390087166,5799.156114723061,0.0003525,6976471.523216869,35.00051251492463,250.4705895592757,223.32497985298187,603.0131835696602,607.9315966046714,605.4723900871659,True,LEO,-38.015713622706116,False,,24.52654923121736,136.7176
40,42946,0 YAOGAN-30 B,2021-02-11 23:25:32,14.898656889998096,6976491.919713696,5799.180465589669,0.0003065,6976491.264326349,35.001012515103405,252.641390335476,358.8934283273839,603.353624940305,607.6302144870888,605.4919197136969,True,LEO,-38.01510655472162,False,,24.52662900152063,1.1765
41,42947,0 YAOGAN-30 C,2021-02-12 06:23:15,14.898697239998095,6976479.323463545,5799.164759724384,0.0007112,6976475.794722351,35.00041251488887,251.20028982019025,253.65919069940483,600.5176513686984,610.4409955583924,605.4793234635454,True,LEO,-38.0156568590214,False,,24.52659710976877,106.3331
42,43028,0 YAOGAN-30 D,2021-02-12 09:25:21,14.898630489998094,6976500.161157205,5799.190741592179,0.0002608,6976499.686639105,34.99661251353013,130.9562468252446,347.15082412865087,603.6806899151761,607.3196323992343,605.5001611572053,True,LEO,-38.016991514757024,False,,24.526687653589764,12.9128
43,43029,0 YAOGAN-30 E,2021-02-12 08:55:00,14.898720049998095,6976472.202783226,5799.155881179935,0.0005857,6976469.809542878,34.99641251345861,130.72244674164605,295.498605659675,601.3860830140558,609.558322552396,605.4722027832258,True,LEO,-38.01763857814365,False,,24.526571551330555,64.5133
44,43030,0 YAOGAN-30 F,2021-02-12 08:20:34,14.898651429998095,6976493.624192063,5799.182590850837,0.0002687,6976493.120491385,34.997512513851945,130.63294670964407,107.48673843339235,603.6190403552419,607.3682080288818,605.4936241920618,True,LEO,-38.01669841331313,False,,24.52665992599941,252.6131
45,43081,0 YAOGAN-30 G,2021-02-12 06:03:21,14.898448439998095,6976556.993440686,5799.261604184261,0.0004394,6976555.646460363,35.00241251560401,10.970603922693453,208.85107467763385,602.4914942977684,608.6224925836041,605.5569934406863,True,LEO,-38.013222630507606,False,,59.8428799604444,151.1947
46,43082,0 YAOGAN-30 H,2021-02-12 06:34:38,14.898947269998095,6976401.271684786,5799.067439750118,0.0005114,6976399.44714684,35.000312514853114,11.058603954159098,37.72381348867912,601.8335400744462,608.9690032951257,605.401271684786,True,LEO,-38.017173380950354,False,,24.52614145906409,322.3832
47,43083,0 YAOGAN-30 J,2021-02-12 07:07:34,14.898607459998095,6976507.350587837,5799.199705877138,0.0004548,6976505.907545848,35.00001251474585,11.27770403250141,191.5642684964936,602.3344350447896,608.6802661308848,605.5073505878372,True,LEO,-38.01528543671245,False,,24.526727801086963,168.4965
48,43170,0 YAOGAN-30 K,2021-02-12 06:25:28,14.898695279998096,6976479.935324692,5799.1655226343355,0.0006408,6976477.070610131,35.00131251521068,11.717004189579345,1.5910005688845898,601.0094069821372,609.95046366725,605.4799353246935,True,LEO,-38.01521981399111,False,,24.526562045859464,358.4818
49,43171,0 YAOGAN-30 L,2021-02-12 07:54:19,14.898716119998095,6976473.429624266,5799.1574108877585,0.0002753,6976472.900876718,35.00041251488887,11.216304010546969,36.548313068362454,603.5528064890905,607.3940527594414,605.4734296242659,True,LEO,-38.015736571294454,False,,24.5265280842068,323.5409
50,43172,0 YAOGAN-30 M,2021-02-12 06:10:02,14.898591029998094,6976512.47966322,5799.206101169886,0.0003194,6976511.767944813,35.00141251524644,11.695104181748693,92.36013302466223,603.2841815772152,607.7407777492244,605.5124796632199,True,LEO,-38.01452922202468,False,,24.526738414620922,267.747
51,44449,0 YAOGAN-30 N,2021-02-12 09:42:04,14.898678159998093,6976485.279750212,5799.172186427776,0.0005391,6976483.252182597,34.99541251310105,190.39956808003865,334.46171959148336,601.7242565358982,609.2463029645241,605.4852797502112,True,LEO,-38.017849717913606,False,,24.526627671948518,25.5862
52,44450,0 YAOGAN-30 P,2021-02-12 09:11:27,14.898584789998093,6976514.427652933,5799.208530061394,0.0008988,6976508.79173547,34.994512512779245,190.19856800816825,125.46994486354029,599.2439364853573,611.7849188205064,605.5144276529318,True,LEO,-38.01775118196004,False,,59.84234111056139,234.6852
53,44451,0 YAOGAN-30 Q,2021-02-12 10:16:47,14.898712859998096,6976474.447309609,5799.158679806314,4.01e-05,6976474.436091367,34.99541251310105,189.67036781930284,230.85038254379523,605.1946906842722,605.7542039349464,605.4744473096092,True,LEO,-38.0180343497139,False,,24.52654078650085,129.22
54,45460,0 YAOGAN-30 R,2021-02-12 07:56:59,14.898749389998095,6976463.04363587,5799.144460943975,0.0005326,6976461.064673109,34.999012514388276,71.46862555461044,26.553209494472842,601.74737941883,609.1787078529114,605.4630436358707,True,LEO,-38.01660088321773,False,,24.52647159527987,333.5452
55,45461,0 YAOGAN-30 S,2021-02-12 08:59:28,14.898683849998093,6976483.50347681,5799.169971648936,0.0003893,6976482.44615941,34.99841251417374,70.86442533857016,299.495607088859,602.7675584489052,608.1994485047126,605.4835034768089,True,LEO,-38.016479366113174,False,,24.526603640704714,60.5375
56,45462,0 YAOGAN-30 T,2021-02-12 08:27:58,14.898855779998096,6976429.831833231,5799.103050315648,0.0001194,6976429.732374736,35.000312514853114,68.85212461904378,113.1612404623902,604.5968461113107,606.2628175551517,605.4298318332313,True,LEO,-38.01660986049436,False,,24.526326589177195,246.9218
57,46807,0 YAOGAN-30 U,2021-02-12 09:54:13,14.898579119998095,6976516.1977024535,5799.210737084764,5.4299999999999985e-05,6976516.177132265,34.99891251435253,311.4304113563158,210.3988752310717,605.1373728729186,605.8950225319886,605.5161977024536,True,LEO,-38.015612237149384,False,,59.842284861639214,149.6699
58,46808,0 YAOGAN-30 V,2021-02-12 02:55:51,14.898640819998095,6976496.936377358,5799.186720712615,0.0002136,6976496.618074963,34.99911251442404,312.8597118673823,12.133204338397553,604.0067566317466,606.9871161229668,605.4969363773566,True,LEO,-38.01588991750821,False,,24.526651976753783,347.9424
59,46809,0 YAOGAN-30 W,2021-02-12 10:26:06,14.898716729998094,6976473.239198523,5799.157173452142,0.0006608,6976470.192875159,35.00061251496038,310.68851109103895,117.70944208866356,600.8631856820602,610.0832927149839,605.4732391985223,True,LEO,-38.015674721050466,False,,24.526514127181144,242.4284
